start_frame,end_frame,class
1721,1731,Cross
1786,1802,Cross
1944,1951,Cross
1995,2007,Lead Hook
2069,2078,Jab
2116,2133,Rear Hook
2218,2236,Rear Hook
2330,2345,Lead Uppercut
2473,2486,Lead Uppercut
3438,3451,Jab
3459,3471,Jab
3477,3489,Jab
3496,3508,Jab
3515,3526,Jab
3534,3544,Jab
3552,3563,Jab
3571,3582,Jab
3590,3601,Jab
3608,3620,Jab
3627,3638,Jab
3646,3656,Jab
3664,3676,Jab
3682,3694,Jab
3702,3712,Jab
3776,3786,Cross
3813,3827,Cross
3850,3862,Cross
3887,3900,Cross
3926,3937,Cross
3963,3975,Cross
4001,4013,Cross
4041,4053,Lead Hook
4078,4090,Lead Hook
4116,4128,Lead Hook
4153,4165,Lead Hook
4190,4204,Lead Hook
4228,4244,Lead Hook
4265,4279,Lead Hook
4302,4315,Lead Hook
4341,4350,Rear Uppercut
4375,4389,Rear Uppercut
4412,4426,Rear Uppercut
4451,4465,Rear Uppercut
4487,4502,Rear Uppercut
4525,4538,Rear Uppercut
4561,4576,Rear Uppercut
4596,4612,Rear Uppercut
4942,4958,Jab
4964,4974,Jab
4981,4990,Jab
4997,5008,Jab
5014,5027,Jab
5033,5043,Jab
5054,5062,Jab
5072,5081,Jab
5089,5100,Jab
5109,5120,Jab
5128,5138,Jab
5146,5156,Jab
5165,5176,Jab
5183,5196,Jab
5201,5214,Jab
5241,5249,Cross
5278,5289,Cross
5315,5325,Cross
5352,5363,Cross
5388,5399,Cross
5428,5438,Cross
5464,5476,Cross
5502,5514,Cross
5538,5552,Lead Hook
5577,5591,Lead Hook
5651,5662,Lead Hook
5687,5700,Lead Hook
5727,5739,Lead Hook
5763,5776,Lead Hook
5802,5815,Lead Hook
5838,5849,Rear Uppercut
5877,5889,Rear Uppercut
5915,5926,Rear Uppercut
5952,5964,Rear Uppercut
5987,6000,Rear Uppercut
6028,6038,Rear Uppercut
6064,6077,Rear Uppercut
6101,6114,Rear Uppercut
6137,6149,Rear Uppercut
6478,6485,Jab
6486,6496,Cross
6516,6524,Jab
6525,6534,Cross
6556,6564,Jab
6565,6572,Cross
6593,6601,Jab
6602,6611,Cross
6632,6638,Jab
6639,6648,Cross
6777,6785,Jab
6786,6794,Cross
6817,6825,Jab
6827,6836,Cross
6854,6863,Jab
6864,6872,Cross
6893,6901,Jab
6902,6911,Cross
6927,6939,Jab
6940,6949,Cross
6965,6976,Jab
6977,6985,Cross
7003,7012,Jab
7013,7022,Cross
9521,9530,Jab
9531,9539,Cross
9540,9556,Lead Hook
9592,9601,Jab
9602,9609,Cross
9610,9621,Lead Hook
9664,9673,Jab
9674,9683,Cross
9684,9697,Lead Hook
9744,9750,Jab
9751,9759,Cross
9760,9723,Lead Hook
10116,10124,Jab
10125,10134,Cross
10135,10146,Lead Hook
10189,10201,Jab
10202,10211,Cross
10212,10222,Lead Hook
18703,18713,Rear Uppercut
18714,18723,Lead Uppercut
18724,18732,Rear Uppercut
18733,18742,Lead Uppercut
18743,18751,Rear Uppercut
18752,18762,Lead Uppercut
18763,18769,Rear Uppercut
18770,18777,Lead Uppercut
20578,20592,Rear Hook
20600,20611,Lead Hook
20615,20629,Rear Hook
20633,20647,Lead Hook
20653,20665,Rear Hook
20669,20683,Lead Hook
20689,20702,Rear Hook
20710,20719,Lead Hook
20729,20737,Rear Uppercut
20747,20758,Lead Uppercut
20766,20776,Rear Uppercut
20785,20796,Lead Uppercut
20805,20815,Rear Uppercut
20824,20835,Lead Uppercut
20844,20855,Rear Uppercut
20860,20872,Lead Uppercut
